iso_code,date,indicator,value
USA,2020-09-19,Daily hospital occupancy per million,76.563
USA,2020-09-19,Weekly new hospital admissions,24703.0
USA,2020-09-19,Weekly new hospital admissions per million,74.202
USA,2020-09-20,Daily ICU occupancy,7842.0
USA,2020-09-20,Daily ICU occupancy per million,23.556
USA,2020-09-20,Daily hospital occupancy,25553.0
USA,2020-09-20,Daily hospital occupancy per million,76.755
USA,2020-09-20,Weekly new hospital admissions,24025.0
USA,2020-09-20,Weekly new hospital admissions per million,72.166
USA,2020-09-21,Daily ICU occupancy,7857.0
USA,2020-09-21,Daily ICU occupancy per million,23.601
USA,2020-09-21,Daily hospital occupancy,26386.0
USA,2020-09-21,Daily hospital occupancy per million,79.257
USA,2020-09-21,Weekly new hospital admissions,24194.0
USA,2020-09-21,Weekly new hospital admissions per million,72.673
USA,2020-09-22,Daily ICU occupancy,7862.0
USA,2020-09-22,Daily ICU occupancy per million,23.616
USA,2020-09-22,Daily hospital occupancy,26440.0
USA,2020-09-22,Daily hospital occupancy per million,79.42
USA,2020-09-22,Weekly new hospital admissions,24049.0
USA,2020-09-22,Weekly new hospital admissions per million,72.238
USA,2020-09-23,Daily ICU occupancy,7861.0
USA,2020-09-23,Daily ICU occupancy per million,23.613
USA,2020-09-23,Daily hospital occupancy,26483.0
USA,2020-09-23,Daily hospital occupancy per million,79.549
USA,2020-09-23,Weekly new hospital admissions,24261.0
USA,2020-09-23,Weekly new hospital admissions per million,72.874
USA,2020-09-24,Daily ICU occupancy,7830.0
USA,2020-09-24,Daily ICU occupancy per million,23.52
USA,2020-09-24,Daily hospital occupancy,26406.0
USA,2020-09-24,Daily hospital occupancy per million,79.318
USA,2020-09-24,Weekly new hospital admissions,24269.0
USA,2020-09-24,Weekly new hospital admissions per million,72.898
USA,2020-09-25,Daily ICU occupancy,7813.0
USA,2020-09-25,Daily ICU occupancy per million,23.468
USA,2020-09-25,Daily hospital occupancy,26274.0
USA,2020-09-25,Daily hospital occupancy per million,78.921
USA,2020-09-25,Weekly new hospital admissions,24383.0
USA,2020-09-25,Weekly new hospital admissions per million,73.241
USA,2020-09-26,Daily ICU occupancy,7796.0
